	commit{dir=NRTCachingDirectory(MMapDirectory@/Users/10843/Develop/github/projects-solr/email-solr-core/email/solr/collection1/data/index lockFactory=NativeFSLockFactory@/Users/10843/Develop/github/projects-solr/email-solr-core/email/solr/collection1/data/index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2015-07-01 09:47:30.613; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2015-07-01 09:47:30.616; org.apache.solr.core.SolrCore; created json: solr.JSONResponseWriter
INFO  - 2015-07-01 09:47:30.616; org.apache.solr.core.SolrCore; adding lazy queryResponseWriter: solr.VelocityResponseWriter
INFO  - 2015-07-01 09:47:30.616; org.apache.solr.core.SolrCore; created velocity: solr.VelocityResponseWriter
INFO  - 2015-07-01 09:47:30.619; org.apache.solr.core.SolrCore; created xslt: solr.XSLTResponseWriter
INFO  - 2015-07-01 09:47:30.619; org.apache.solr.response.XSLTResponseWriter; xsltCacheLifetimeSeconds=5
INFO  - 2015-07-01 09:47:30.687; org.apache.solr.core.SolrCore; no updateRequestProcessorChain defined as default, creating implicit default
INFO  - 2015-07-01 09:47:30.691; org.apache.solr.core.RequestHandlers; created /update: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2015-07-01 09:47:30.691; org.apache.solr.core.RequestHandlers; created /update/json: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2015-07-01 09:47:30.692; org.apache.solr.core.RequestHandlers; created /update/csv: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2015-07-01 09:47:30.692; org.apache.solr.core.RequestHandlers; created /update/json/docs: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2015-07-01 09:47:30.695; org.apache.solr.core.RequestHandlers; created /select: solr.SearchHandler
INFO  - 2015-07-01 09:47:30.696; org.apache.solr.core.RequestHandlers; created /query: solr.SearchHandler
INFO  - 2015-07-01 09:47:30.697; org.apache.solr.core.RequestHandlers; created /get: solr.RealTimeGetHandler
INFO  - 2015-07-01 09:47:30.697; org.apache.solr.core.RequestHandlers; created /export: solr.SearchHandler
INFO  - 2015-07-01 09:47:30.697; org.apache.solr.core.RequestHandlers; created /browse: solr.SearchHandler
WARN  - 2015-07-01 09:47:30.701; org.apache.solr.core.RequestHandlers; Multiple requestHandler registered to the same name: /update ignoring: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2015-07-01 09:47:30.701; org.apache.solr.core.RequestHandlers; created /update: solr.UpdateRequestHandler
INFO  - 2015-07-01 09:47:30.701; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.extraction.ExtractingRequestHandler
INFO  - 2015-07-01 09:47:30.702; org.apache.solr.core.RequestHandlers; created /update/extract: solr.extraction.ExtractingRequestHandler
INFO  - 2015-07-01 09:47:30.702; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.FieldAnalysisRequestHandler
INFO  - 2015-07-01 09:47:30.702; org.apache.solr.core.RequestHandlers; created /analysis/field: solr.FieldAnalysisRequestHandler
INFO  - 2015-07-01 09:47:30.702; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.DocumentAnalysisRequestHandler
INFO  - 2015-07-01 09:47:30.702; org.apache.solr.core.RequestHandlers; created /analysis/document: solr.DocumentAnalysisRequestHandler
INFO  - 2015-07-01 09:47:30.703; org.apache.solr.core.RequestHandlers; created /admin/: solr.admin.AdminHandlers
INFO  - 2015-07-01 09:47:30.705; org.apache.solr.core.RequestHandlers; created /admin/ping: solr.PingRequestHandler
INFO  - 2015-07-01 09:47:30.706; org.apache.solr.core.RequestHandlers; created /debug/dump: solr.DumpRequestHandler
INFO  - 2015-07-01 09:47:30.712; org.apache.solr.core.RequestHandlers; created /replication: solr.ReplicationHandler
INFO  - 2015-07-01 09:47:30.712; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2015-07-01 09:47:30.712; org.apache.solr.core.RequestHandlers; created /spell: solr.SearchHandler
INFO  - 2015-07-01 09:47:30.712; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2015-07-01 09:47:30.712; org.apache.solr.core.RequestHandlers; created /tvrh: solr.SearchHandler
INFO  - 2015-07-01 09:47:30.713; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2015-07-01 09:47:30.713; org.apache.solr.core.RequestHandlers; created /terms: solr.SearchHandler
INFO  - 2015-07-01 09:47:30.713; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2015-07-01 09:47:30.713; org.apache.solr.core.RequestHandlers; created /elevate: solr.SearchHandler
INFO  - 2015-07-01 09:47:30.723; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2015-07-01 09:47:30.724; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2015-07-01 09:47:30.725; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2015-07-01 09:47:30.725; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2015-07-01 09:47:30.726; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2015-07-01 09:47:30.737; org.apache.solr.update.CommitTracker; Hard AutoCommit: if uncommited for 15000ms; 
INFO  - 2015-07-01 09:47:30.737; org.apache.solr.update.CommitTracker; Soft AutoCommit: disabled
INFO  - 2015-07-01 09:47:30.742; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onInit: commits: num=1
	commit{dir=NRTCachingDirectory(MMapDirectory@/Users/10843/Develop/github/projects-solr/email-solr-core/email/solr/collection1/data/index lockFactory=NativeFSLockFactory@/Users/10843/Develop/github/projects-solr/email-solr-core/email/solr/collection1/data/index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2015-07-01 09:47:30.742; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2015-07-01 09:47:30.747; org.apache.solr.search.SolrIndexSearcher; Opening Searcher@777d28d2[collection1] main
INFO  - 2015-07-01 09:47:30.751; org.apache.solr.rest.ManagedResourceStorage$FileStorageIO; File-based storage initialized to use dir: /Users/10843/Develop/github/projects-solr/email-solr-core/email/solr/collection1/conf
INFO  - 2015-07-01 09:47:30.751; org.apache.solr.rest.RestManager; Initializing RestManager with initArgs: {storageDir=/Users/10843/Develop/github/projects-solr/email-solr-core/email/solr/collection1/conf}
INFO  - 2015-07-01 09:47:30.752; org.apache.solr.rest.ManagedResourceStorage; Reading _rest_managed.json using file:dir=/Users/10843/Develop/github/projects-solr/email-solr-core/email/solr/collection1/conf
INFO  - 2015-07-01 09:47:30.756; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _rest_managed.json using file:dir=/Users/10843/Develop/github/projects-solr/email-solr-core/email/solr/collection1/conf
INFO  - 2015-07-01 09:47:30.756; org.apache.solr.rest.ManagedResource; Loaded initArgs {} for /rest/managed
INFO  - 2015-07-01 09:47:30.756; org.apache.solr.rest.RestManager; Initializing 2 registered ManagedResources
INFO  - 2015-07-01 09:47:30.757; org.apache.solr.rest.ManagedResourceStorage; Reading _schema_analysis_stopwords_english.json using file:dir=/Users/10843/Develop/github/projects-solr/email-solr-core/email/solr/collection1/conf
INFO  - 2015-07-01 09:47:30.758; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _schema_analysis_stopwords_english.json using file:dir=/Users/10843/Develop/github/projects-solr/email-solr-core/email/solr/collection1/conf
INFO  - 2015-07-01 09:47:30.759; org.apache.solr.rest.ManagedResource; Loaded initArgs {ignoreCase=true} for /schema/analysis/stopwords/english
INFO  - 2015-07-01 09:47:30.759; org.apache.solr.rest.schema.analysis.ManagedWordSetResource; Loaded 35 words for /schema/analysis/stopwords/english
INFO  - 2015-07-01 09:47:30.759; org.apache.solr.rest.ManagedResource; Notified 1 observers of /schema/analysis/stopwords/english
INFO  - 2015-07-01 09:47:30.760; org.apache.solr.rest.ManagedResourceStorage; Reading _schema_analysis_synonyms_english.json using file:dir=/Users/10843/Develop/github/projects-solr/email-solr-core/email/solr/collection1/conf
INFO  - 2015-07-01 09:47:30.761; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _schema_analysis_synonyms_english.json using file:dir=/Users/10843/Develop/github/projects-solr/email-solr-core/email/solr/collection1/conf
INFO  - 2015-07-01 09:47:30.761; org.apache.solr.rest.ManagedResource; Loaded initArgs {ignoreCase=true,format=solr} for /schema/analysis/synonyms/english
INFO  - 2015-07-01 09:47:30.761; org.apache.solr.rest.schema.analysis.ManagedSynonymFilterFactory$SynonymManager; Loaded 3 synonym mappings for /schema/analysis/synonyms/english
INFO  - 2015-07-01 09:47:30.763; org.apache.solr.rest.ManagedResource; Notified 1 observers of /schema/analysis/synonyms/english
INFO  - 2015-07-01 09:47:30.763; org.apache.solr.handler.component.SpellCheckComponent; Initializing spell checkers
INFO  - 2015-07-01 09:47:30.767; org.apache.solr.spelling.DirectSolrSpellChecker; init: {name=default,field=text,classname=solr.DirectSolrSpellChecker,distanceMeasure=internal,accuracy=0.5,maxEdits=2,minPrefix=1,maxInspections=5,minQueryLength=4,maxQueryFrequency=0.01}
INFO  - 2015-07-01 09:47:30.772; org.apache.solr.handler.component.SpellCheckComponent; No queryConverter defined, using default converter
INFO  - 2015-07-01 09:47:30.773; org.apache.solr.handler.component.QueryElevationComponent; Loading QueryElevation from: /Users/10843/Develop/github/projects-solr/email-solr-core/email/solr/collection1/conf/elevate.xml
INFO  - 2015-07-01 09:47:30.794; org.apache.solr.handler.ReplicationHandler; Commits will be reserved for  10000
